3862,Mocha Beige Dark,138,110,78,#8A6E4E,Ƿ,c7 b7
3031,Mocha Brown Very Dark,75,60,42,#4B3C2A,Ǹ,c7 b8
B5200,Snow White,255,255,255,#FFFFFF,ǹ,c7 b9
White,White,252,251,248,#FCFBF8,Ǻ,c7 ba
3865,Winter White,249,247,241,#F9F7F1,ǻ,c7 bb
Ecru,Ecru,240,234,218,#F0EADA,Ǽ,c7 bc
822,Beige Gray Light,231,226,211,#E7E2D3,ǽ,c7 bd
644,Beige Gray Medium,221,216,203,#DDD8CB,Ǿ,c7 be
642,Beige Gray Dark,164,152,120,#A49878,ǿ,c7 bf
640,Beige Gray Very Dark,133,123,97,#857B61,Ȁ,c8 80
3787,Brown Gray Dark,98,93,80,#625D50,ȁ,c8 81
